TaxonName,TaxonCode
Gomphonema acidoclinatiforme,Gomac01
Gomphonema acidoclinatum,Gomac02
Gomphonema acuminatum,Gomac03
Gomphonema aequale,Gomae01
Gomphonema affine,Gomaf01
Gomphonema amoenum,Gomam01
Gomphonema anglicum,Goman01
Gomphonema angustatum,Goman02
Gomphonema angusticephalum,Goman03
Gomphonema angustius,Goman04
Gomphonema angustivalva,Goman05
Gomphonema angustum,Goman06
Gomphonema augur,Gomau01
Gomphonema auritum,Gomau02
Gomphonema bavaricum,Gomba01
Gomphonema bohemicum,Gombo01
Gomphonema bourbonense,Gombo02
Gomphonema bozenae,Gombo03
Gomphonema brasiliense,Gombr01
Gomphonema brebissonii,Gombr02
Gomphonema calcifugum,Gomca02
Gomphonema campodunense,Gomca03
Gomphonema capitatum,Gomca04
Gomphonema carolinense,Gomca05
Gomphonema clavatulum,Gomcl01
Gomphonema clavatum,Gomcl02
Gomphonema clevei,Gomcl03
Gomphonema commutatum,Gomco01
Gomphonema compactum,Gomco02
Gomphonema contraturris,Gomco03
Gomphonema coronatum,Gomco04
Gomphonema corsicum,Gomco05
Gomphonema cumrhis,Gomcu01
Gomphonema cuneolus,Gomcu02
Gomphonema curtum,Gomcu03
Gomphonema cymbelliclinum,Gomcy01
Gomphonema daphnoides,Gomda01
Gomphonema delicatula,Gomde01
Gomphonema designatum,Gomde02
Gomphonema dichotomum,Gomdi01
Gomphonema drutelingense,Gomdr01
Gomphonema elegantissimum,Gomel01
Gomphonema entolejum,Gomen01
Gomphonema exilissimum,Gomex01
Gomphonema extentum,Gomex02
Gomphonema frickei,Gomfr01
Gomphonema gracile,Gomgr01
Gomphonema graciledictum,Gomgr02
Gomphonema grovei,Gomgr03
Gomphonema grunowii,Gomgr04
Gomphonema hasta,Gomha01
Gomphonema hebridense,Gomhe01
Gomphonema holmquistii,Gomho01
Gomphonema incognitum,Gomin02
Gomphonema innocens,Gomin03
Gomphonema insigne,Gomin04
Gomphonema insigniforme,Gomin05
Gomphonema intricatum,Gomin06
Gomphonema italicum,Gomit01
Gomphonema jadwigiae,Gomja01
Gomphonema jergackianum,Gomje01
Gomphonema kobayasii,Gomko01
Gomphonema lacunicola,Gomla01
Gomphonema lagenula,Gomla02
Gomphonema lagerheimii,Gomla03
Gomphonema lanceolatum,Gomla04
Gomphonema lateripunctatum,Gomla05
Gomphonema laticollum,Gomla06
Gomphonema linearoides,Gomli01
Gomphonema lingulatiforme,Gomli02
Gomphonema lingulatum,Gomli03
Gomphonema lippertii,Gomli04
Gomphonema longiceps,Gomlo01
Gomphonema longilineare,Gomlo02
Gomphonema manifestum,Gomma01
Gomphonema mexicanum,Gomme01
Gomphonema micropumilum,Gommi02
Gomphonema micropus,Gommi03
Gomphonema minusculum,Gommi04
Gomphonema minutum,Gommi05
Gomphonema naviculoides,Gomna01
Gomphonema occultum,Gomoc01
Gomphonema olivaceoides,Gomol03
Gomphonema olivaceum,Gomol04
Gomphonema opimum,Gomop01
Gomphonema pala,Gompa01
Gomphonema paludosum,Gompa02
Gomphonema parallelistriatum,Gompa03
Gomphonema parapygmaeum,Gompa04
Gomphonema parvuliforme,Gompa05
Gomphonema parvulum,Gompa06
Gomphonema perolivaceolacuum,Gompe01
Gomphonema platypus,Gompl01
Gomphonema pratense,Gompr01
Gomphonema procerum,Gompr02
Gomphonema productum,Gompr03
Gomphonema pseudoaugur,Gomps01
Gomphonema pseudobohemicum,Gomps02
Gomphonema pseudotenellum,Gomps03
Gomphonema pulvillum,Gompu01
Gomphonema pumilum,Gompu02
Gomphonema pygmaeum,Gompy01
Gomphonema rhombicum,Gomrh01
Gomphonema rosenstockianum,Gomro01
Gomphonema sarcophagus,Gomsa01
Gomphonema sichuanensis,Gomsi01
Gomphonema sphaerophorum,Gomsp01
Gomphonema sphenovertex,Gomsp02
Gomphonema stauroneiforme,Gomst01
Gomphonema staurophorum,Gomst02
Gomphonema subangustatum,Gomsu01
Gomphonema subapicatum,Gomsu02
Gomphonema subclavatum,Gomsu03
Gomphonema subtile,Gomsu04
Gomphonema supertergestinum,Gomsu05
Gomphonema tackei,Gomta01
Gomphonema tenoccultum,Gomte01
Gomphonema tergestinum,Gomte02
Gomphonema truncatum,Gomtr02
Gomphonema tumidum,Gomtu01
Gomphonema turris,Gomtu02
Gomphonema uniserhombicum,Gomun01
Gomphonema utae,Gomut01
Gomphonema varioreduncum,Gomva02
Gomphonema variostigmatum,Gomva03
Gomphonema variostriatum,Gomva04
Gomphonema variscohercynicum,Gomva05
Gomphonema ventricosum,Gomve01
Gomphonema vibrio,Gomvi01
Gomphonema vidalii,Gomvi02
Gomphonema vitreum,Gomvi03
Gomphonema zellense,Gomze01
Gomphonemopsis obscura,Gomob02
Gomphonitzschia agma,Gomag01
Gomphosphenia fontinalis,Gomfo01
Gomphosphenia holmquistii,Gomho02
Gomphosphenia lingulatiformis,Gomli05
Gomphosphenia oahuensis,Gomoa01
Gomphosphenia tackei,Gomta02
Grammatophora marina,Grama01
Grammatophora serpentina,Grase01
Grunowia sinuata,Grusi01
Grunowia tabellaria,Gruta01
Gyrosigma acuminatum,Gyrac01
Gyrosigma attenuatum,Gyrat01
Gyrosigma limosum,Gyrli01
Gyrosigma obscurum,Gyrob01
Gyrosigma scalproides,Gyrsc01
Halamphora acutiuscula,Halac01
Halamphora aponina,Halap01
Halamphora bullatoides,Halbu01
Halamphora coffeaeformis,Halco01
Halamphora cymbifera,Halcy01
Halamphora holsatica,Halho01
Halamphora montana,Halmo01
Halamphora normanii,Halno01
Halamphora oligotraphenta,Halol01
Halamphora pertusa,Halpe01
Halamphora subtilis,Halsu01
Halamphora vardarensis,Halva01
Handmannia austriaca,Hanau01
Hannaea arcus,Hanar01
Hannaea recta,Hanre01
Hantzschia abundans,Hanab01
Hantzschia amphioxys,Hanam01
Hantzschia calcifuga,Hanca01
Hantzschia confusa,Hanco01
Hantzschia mongolica,Hanmo01
Hantzschia psammicola,Hanps01
Haslea duerrenbergiana,Hasdu01
Himantidium exiguum,Himex01
Himantidium faba,Himfa01
Himantidium minus,Himmi01
Himantidium soleirolii,Himso01
Himantidium veneris,Himve01
Hippodonta arkonensis,Hipar01
Hippodonta caotica,Hipca01
Hippodonta capitata,Hipca02
Hippodonta costulatiformis,Hipco01
Hippodonta coxiae,Hipco02
Hippodonta geocollegarum,Hipge01
Hippodonta luneburgensis,Hiplu01
Hippodonta neglecta,Hipne01
Hippodonta olofjarlmannii,Hipol01
Hippodonta pseudopinnularia,Hipps01
Hippodonta pumila,Hippu01
Hippodonta ruthnielseniae,Hipru01
Hippodonta subtilissima,Hipsu01
Homoeocladia bulnheimiana,Hombu01
Homoeocladia capitata,Homca01
Homoeocladia conferta,Homco01
Homoeocladia subcohaerens,Homsu01
Humidophila arcuatoides,Humar01
Humidophila brekkaensis,Humbr01
Humidophila contenta,Humco01
Humidophila gallica,Humga01
Humidophila perpusilla,Humpe01
Humidophila schmassmannii,Humsc01
Hydrosera triquetra,Hydtr01
Hydrosera whampoensis,Hydwh01
Hygropetra balfouriana,Hygba01
Karayevia amoena,Karam01
Karayevia clevei,Karcl01
Karayevia obtusa,Karob01
Karayevia ploenensis,Karpl01
Kobayasiella jaagii,Kobja01
Kobayasiella parasubtilissima,Kobpa01
Kobayasiella pseudostauron,Kobps01
Kobayasiella saxicola,Kobsa01
Kobayasiella subtilissima,Kobsu01
Kolbesia suchlandtii,Kolsu01
Kurtkrammeria aequalis,Kurae01
Lacustriella lacustris,Lacla01
Lemnicola exigua,Lemex01
Lemnicola hungarica,Lemhu01
Leptocylindrus minimus,Lepmi01
Lindavia austriaca,Linau01
Lindavia balatonis,Linba01
Lindavia bodanica,Linbo01
Lindavia comta,Linco01
Lindavia costata,Linco02
Lindavia costei,Linco03
Lindavia fottii,Linfo01
Lindavia praetermissa,Linpr01
Lindavia radiosa,Linra01
Lindavia tenuistriata,Linte01
Luticola acidoclinata,Lutac01
Luticola cocquytiae,Lutco01
Luticola frequentissima,Lutfr01
Luticola goeppertiana,Lutgo01
Luticola hlubikovae,Luthl01
Luticola incana,Lutin01
Luticola naviculoides,Lutna01
Luticola peguaniformis,Lutpe01
Luticola permuticoides,Lutpe02
Luticola pseudonivalis,Lutps01
Luticola rotunda,Lutro01
Luticola saprophila,Lutsa01
Luticola simplex,Lutsi01
Luticola sparsipunctata,Lutsp01
Luticola ventriconfusa,Lutve01
Mastogloia acutiuscula,Masac01
Mastogloia baltica,Masba01
Mastogloia elliptica,Masel01
Mastogloia exigua,Masex01
Mastogloia exilis,Masex02
Mastogloia inaequalis,Masin01
Mastogloia lacustris,Masla01
Mastogloia patens,Maspa01
Mastogloia smithii,Massm01
Mastogloia varians,Masva01
Mayamaea asellus,Mayas01
Mayamaea cahabaensis,Mayca01
Mayamaea cavernicola,Mayca02
Mayamaea ingenua,Mayin01
Melosira arenaria,Melar01
Melosira crenulata,Melcr01
Melosira dickiei,Meldi01
Melosira discigera,Meldi02
Melosira granulata,Melgr01
Melosira italica,Melit01
Melosira japonica,Melja01
Melosira longispina,Mello01
Melosira lyrata,Melly01
Melosira moniliformis,Melmo01
Melosira muzzanensis,Melmu01
Melosira nygaardii,Melny01
Melosira pfaffiana,Melpf01
Melosira pusilla,Melpu01
Melosira scalaris,Melsc01
Melosira sphaerica,Melsp01
Melosira tenella,Melte01
Melosira tenuissima,Melte02
Melosira varians,Melva01
Meridion circulare,Merci01
Meridion constrictum,Merco01
Mesodictyopsis media,Mesme01
Microcostatus krasskei,Mickr01
Microfissurata paludosa,Micpa01
Microneis gracillima,Micgr01
Microsiphona potamos,Micpo01
Minidiscus chilensis,Minch01
Monema prostratum,Monpr01
Muelleria gibbula,Muegi01
Muelleria splendidula,Muesp01
Nanofrustulum krumbeinii,Nankr01
Nanofrustulum sopotensis,Nanso01
Nanofrustulum trainori,Nantr01
Navicula abscondita,Navab01
Navicula absoluta,Navab02
Navicula abunda,Navab03
Navicula acceptata,Navac01
Navicula accommoda,Navac02
Navicula acutirostris,Navac03
Navicula adamata,Navad01
Navicula adnata,Navad02
Navicula aggerica,Navag01
Navicula agnita,Navag02
Navicula agrestis,Navag03
Navicula alaskana,Naval01
Navicula alineae,Naval02
Navicula amabilis,Navam01
Navicula ambigua,Navam02
Navicula americana,Navam03
Navicula ammophila,Navam04
Navicula amphiceropsis,Navam05
Navicula amphipleuroides,Navam06
Navicula amphisbaena,Navam07
Navicula anglica,Navan01
Navicula angusta,Navan02
Navicula angustata,Navan03
Navicula anopaia,Navan04
Navicula antonii,Navan05
Navicula antverpiensis,Navan06
Navicula applicita,Navap01
Navicula applicitoides,Navap02
Navicula aquaedurae,Navaq01
Navicula aquitanonipponica,Navaq02
Navicula arctotenelloides,Navar01
Navicula arcus,Navar02
Navicula arenaria,Navar03
Navicula arvensis,Navar04
Navicula associata,Navas01
Navicula atomoides,Navat01
Navicula atomus,Navat02
Navicula austrocollegarum,Navau01
Navicula bacillaris,Navba01
Navicula bacilloides,Navba02
Navicula bacillum,Navba03
Navicula biconstricta,Navbi01
Navicula bicontracta,Navbi02
Navicula bifrons,Navbi03
Navicula bjoernoeyaensis,Navbj01
Navicula bottnica,Navbo01
Navicula breitenbuchii,Navbr01
Navicula brekkaensis,Navbr02
Navicula brekkaensoides,Navbr03
Navicula bremensis,Navbr04
Navicula broetzii,Navbr05
Navicula bryophila,Navbr06
Navicula buderi,Navbu01
Navicula bulnheimii,Navbu02
Navicula cadoi,Navca01
Navicula caenosus,Navca02
Navicula calida,Navca03
Navicula cancellata,Navca04
Navicula canoris,Navca05
Navicula cantonatii,Navca06
Navicula capitatoradiata,Navca07
Navicula cari,Navca08
Navicula cariocincta,Navca09
Navicula catalanogermanica,Navca10
Navicula caterva,Navca11
Navicula centropunctata,Navce01
Navicula chiarae,Navch01
Navicula cincta,Navci01
Navicula citrus,Navci02
Navicula clarensiana,Navcl01
Navicula claytonii,Navcl02
Navicula clementioides,Navcl03
Navicula cluthensoides,Navcl04
Navicula cocconeiformis,Navco01
Navicula completa,Navco02
Navicula concentrica,Navco03
Navicula constans,Navco04
Navicula contenta,Navco05
Navicula costulata,Navco06
Navicula crassinervia,Navcr01
Navicula crassulexigua,Navcr02
Navicula creuzburgensis,Navcr03
Navicula crucifera,Navcr04
Navicula cryptocephala,Navcr05
Navicula cryptocephaloides,Navcr06
Navicula cryptofallax,Navcr07
Navicula cryptolyra,Navcr08
Navicula cryptotenella,Navcr09
Navicula cryptotenelloides,Navcr10
Navicula cummerowii,Navcu01
Navicula cuspidata,Navcu02
Navicula dealpina,Navde01
Navicula declivis,Navde02
Navicula decussis,Navde03
Navicula delognei,Navde04
Navicula densilineolata,Navde05
Navicula destricta,Navde06
Navicula detenta,Navde07
Navicula dicephala,Navdi01
Navicula didyma,Navdi02
Navicula difficillima,Navdi03
Navicula difficillimoides,Navdi04
Navicula digitoconvergens,Navdi05
Navicula digitoradiata,Navdi06
Navicula digitulus,Navdi07
Navicula disjuncta,Navdi08
Navicula disputans,Navdi09
Navicula dissociata,Navdi10
Navicula doehleri,Navdo01
Navicula egregia,Naveg01
Navicula eidrigiana,Navei01
Navicula elaphros,Navel01
Navicula elginensis,Navel02
Navicula elkab,Navel03
Navicula erifuga,Naver01
Navicula evanida,Navev01
Navicula excelsa,Navex01
Navicula exilis,Navex02
Navicula explicata,Navex03
Navicula faceta,Navfa01
Navicula fauta,Navfa02
Navicula festiva,Navfe01
Navicula flanatica,Navfl01
Navicula follis,Navfo01
Navicula fossalis,Navfo02
Navicula fossaloides,Navfo03
Navicula frequens,Navfr01
Navicula gastrum,Navga01
Navicula geitleri,Navge01
Navicula germainii,Navge02
Navicula germanopolonica,Navge03
Navicula gibba,Navgi01
Navicula glomus,Navgl01
Navicula gottlandica,Navgo01
Navicula gregaria,Navgr01
Navicula gregarioides,Navgr02
Navicula groschopfii,Navgr03
Navicula halophila,Navha01
Navicula halophilioides,Navha02
Navicula hambergi,Navha03
Navicula hamiltonii,Navha04
Navicula hanseatica,Navha05
Navicula harderi,Navha06
Navicula hassiaca,Navha07
Navicula hasta,Navha08
Navicula heimansii,Navhe01
Navicula heimansioides,Navhe02
Navicula heimii,Navhe03
Navicula helensis,Navhe04
Navicula hintzii,Navhi01
Navicula hofmanniae,Navho01
Navicula hungarica,Navhu01
Navicula hustedtii,Navhu02
Navicula ignorata,Navig01
Navicula ignota,Navig02
Navicula implana,Navim01
Navicula inaequalis,Navin01
Navicula incertata,Navin02
Navicula incisa,Navin03
Navicula indifferens,Navin04
Navicula ingenua,Navin05
Navicula insociabilis,Navin06
Navicula insolita,Navin07
Navicula insulsa,Navin08
Navicula interrupta,Navin09
Navicula intractata,Navin10
Navicula ireneae,Navir01
Navicula irmengardis,Navir02
Navicula jaernefeltii,Navja01
Navicula jakovljevici,Navja02
Navicula jamalinensis,Navja03
Navicula joubaudii,Navjo01
Navicula korzeniewskii,Navko01
Navicula kotschyi,Navko02
Navicula krammeriae,Navkr01
Navicula kuelbsii,Navku01
Navicula lacunolaciniata,Navla01
Navicula lacuum,Navla02
Navicula laevissima,Navla03
Navicula lanceolata,Navla04
Navicula lapidosa,Navla05
Navicula laterostrata,Navla06
Navicula latissima,Navla07
Navicula leistikowii,Navle01
Navicula lenzii,Navle02
Navicula lepida,Navle03
Navicula leptosoma,Navle04
Navicula leptostriata,Navle05
Navicula lesmonensis,Navle06
Navicula libonensis,Navli01
Navicula limata,Navli02
Navicula limosa,Navli03
Navicula longa,Navlo01
Navicula longicephala,Navlo02
Navicula longirostris,Navlo03
Navicula lucinensis,Navlu01
Navicula lundii,Navlu02
Navicula lundstroemii,Navlu03
Navicula maceria,Navma01
Navicula mannii,Navma02
Navicula margalithii,Navma03
Navicula margaritiana,Navma04
Navicula marina,Navma05
Navicula medioconvexa,Navme01
Navicula mediocostata,Navme02
Navicula mediocris,Navme03
Navicula menisculus,Navme04
Navicula meniscus,Navme05
Navicula metareichardtiana,Navme06
Navicula microcari,Navmi01
Navicula microcephala,Navmi02
Navicula microdigitoradiata,Navmi03
Navicula microrhombus,Navmi04
Navicula minima,Navmi05
Navicula minuscula,Navmi06
Navicula minusculoides,Navmi07
Navicula mitigata,Navmi08
Navicula mitis,Navmi09
Navicula mobiliensis,Navmo01
Navicula modica,Navmo02
Navicula moenofranconica,Navmo03
Navicula molaris,Navmo04
Navicula molestiformis,Navmo05
Navicula mollicula,Navmo06
Navicula monita,Navmo07
Navicula monoculata,Navmo08
Navicula moskalii,Navmo09
Navicula motschii,Navmo10
Navicula muraliformis,Navmu01
Navicula muralis,Navmu02
Navicula muraloides,Navmu03
Navicula musca,Navmu04
Navicula mutata,Navmu05
Navicula mutica,Navmu06
Navicula namibica,Navna01
Navicula neglecta,Navne01
Navicula neomundana,Navne02
Navicula nivalis,Navni01
Navicula normaloides,Navno01
Navicula notha,Navno02
Navicula novaesiberica,Navno03
Navicula nugalis,Navnu01
Navicula nyassensis,Navny01
Navicula obdurata,Navob01
Navicula obligata,Navob02
Navicula oblonga,Navob03
Navicula oblongella,Navob04
Navicula obsidialis,Navob05
Navicula obsoleta,Navob06
Navicula oculata,Navoc01
Navicula oligotraphenta,Navol01
Navicula opima,Navop01
Navicula opportuna,Navop02
Navicula oppugnata,Navop03
Navicula paludosa,Navpa01
Navicula paracari,Navpa02
Navicula parsura,Navpa03
Navicula parunculoides,Navpa04
Navicula pascuorum,Navpa05
Navicula pavillardii,Navpa06
Navicula pellucidula,Navpe01
Navicula peregrina,Navpe02
Navicula perlucida,Navpe03
Navicula perminuta,Navpe04
Navicula permitis,Navpe05
Navicula perpusilla,Navpe06
Navicula phyllepta,Navph01
Navicula phylleptosoma,Navph02
Navicula platalea,Navpl01
Navicula praeterita,Navpr01
Navicula protracta,Navpr02
Navicula protractoides,Navpr03
Navicula pseudacceptata,Navps01
Navicula pseudoarvensis,Navps02
Navicula pseudobacillum,Navps03
Navicula pseudobryophila,Navps04
Navicula pseudocryptocephala,Navps05
Navicula pseudolanceolata,Navps06
Navicula pseudomitis,Navps07
Navicula pseudoppugnata,Navps08
Navicula pseudopupula,Navps09
Navicula pseudoscutiformis,Navps10
Navicula pseudotenelloides,Navps11
Navicula pseudoventralis,Navps12
Navicula puella,Navpu01
Navicula pupula,Navpu02
Navicula pusilla,Navpu03
Navicula pusio,Navpu04
Navicula pygmaea,Navpy01
Navicula quasidisjuncta,Navqu01
Navicula radiosa,Navra01
Navicula radiosafallax,Navra02
Navicula radiosiola,Navra03
Navicula recognita,Navre01
Navicula recondita,Navre02
Navicula rectangulata,Navre03
Navicula reichardtiana,Navre04
Navicula reinhardtii,Navre05
Navicula resecta,Navre06
Navicula rhomboides,Navrh01
Navicula rhynchocephala,Navrh02
Navicula rhynchotella,Navrh03
Navicula ricardae,Navri01
Navicula riediana,Navri02
Navicula riparia,Navri03
Navicula rostellata,Navro01
Navicula rotunda,Navro02
Navicula ruttneri,Navru01
Navicula salinarum,Navsa01
Navicula salinicola,Navsa02
Navicula saprophila,Navsa03
Navicula satura,Navsa04
Navicula saxicola,Navsa05
Navicula saxophila,Navsa06
Navicula schadei,Navsc01
Navicula schmassmanni,Navsc02
Navicula schoenfeldii,Navsc03
Navicula schroeteri,Navsc04
Navicula scoliopleura,Navsc05
Navicula scopulorum,Navsc06
Navicula seibigiana,Navse01
Navicula semidecora,Navse02
Navicula seminoides,Navse03
Navicula seminuloides,Navse04
Navicula seminulum,Navse05
Navicula septentrionalis,Navse06
Navicula serica,Navse07
Navicula silvahercynia,Navsi01
Navicula similis,Navsi02
Navicula simula,Navsi03
Navicula simulata,Navsi04
Navicula slesvicensis,Navsl01
Navicula smithii,Navsm01
Navicula soehrensis,Navso01
Navicula specululum,Navsp01
Navicula splendicula,Navsp02
Navicula splendida,Navsp03
Navicula stankovici,Navst01
Navicula streckerae,Navst02
Navicula strenzkei,Navst03
Navicula striolata,Navst04
Navicula stroemii,Navst05
Navicula styriaca,Navst06
Navicula subadnata,Navsu01
Navicula subalpina,Navsu02
Navicula subatomoides,Navsu03
Navicula subbacillum,Navsu04
Navicula subcostulata,Navsu05
Navicula subdilucida,Navsu06
Navicula subhamulata,Navsu07
Navicula sublucidula,Navsu08
Navicula subminuscula,Navsu09
Navicula submolesta,Navsu10
Navicula submuralis,Navsu11
Navicula submuscicola,Navsu12
Navicula subplacentula,Navsu13
Navicula subrhynchocephala,Navsu14
Navicula subrotundata,Navsu15
Navicula subsalina,Navsu16
Navicula subseminulum,Navsu17
Navicula suchlandtii,Navsu18
Navicula sudetica,Navsu19
Navicula supergregaria,Navsu20
Navicula symmetrica,Navsy01
Navicula syvertsenii,Navsy02
Navicula tackei,Navta01
Navicula tantula,Navta02
Navicula tenelloides,Navte01
Navicula tenera,Navte02
Navicula tersa,Navte03
Navicula thuringiaca,Navth01
Navicula torneensis,Navto01
Navicula transitans,Navtr01
Navicula tridentula,Navtr02
Navicula trinodis,Navtr03
Navicula trinotata,Navtr04
Navicula trivialis,Navtr05
Navicula trophicatrix,Navtr06
Navicula tropica,Navtr07
Navicula turgida,Navtu01
Navicula tuscula,Navtu02
Navicula ultratenelloides,Navul01
Navicula umbonata,Navum01
Navicula umbra,Navum02
Navicula undula,Navun01
Navicula utermoehlii,Navut01
Navicula valdestriata,Navva01
Navicula valens,Navva02
Navicula vandamii,Navva03
Navicula vaneei,Navva04
Navicula variostriata,Navva05
Navicula vaucheriae,Navva06
Navicula vekhovii,Navve01
Navicula venerablis,Navve02
Navicula veneta,Navve03
Navicula ventralis,Navve04
Navicula ventraloconfusa,Navve05
Navicula ventraloides,Navve06
Navicula vilaplanii,Navvi01
Navicula viridula,Navvi02
Navicula viridulacalcis,Navvi03
Navicula vitabunda,Navvi04
Navicula wendlingii,Navwe01
Navicula wiesneri,Navwi01
Navicula wiktoriae,Navwi02
Navicula wildii,Navwi03
Navicula witkowskii,Navwi04
Navicula wygaschii,Navwy01
Navicula zachariasi,Navza01
Navicula zellensis,Navze01
Naviculadicta bremensiformis,Navbr07
Naviculadicta cosmopolitana,Navco07
Naviculadicta elorantana,Navel04
Naviculadicta jurafontinalis,Navju01
Naviculadicta multiconfusa,Navmu07
Naviculadicta raederiae,Navra04
Naviculadicta sassiana,Navsa07
Naviculadicta schaumburgii,Navsc07
Naviculadicta stauroneioides,Navst07
Naviculadicta vekhovii,Navve07
Navigeia decussoides,Navde08
Navigeia paludosa,Navpa07
Navigeia schoenfeldii,Navsc08
Navigiolum ricula,Navri04
Neidiomorpha binodeformis,Neibi01
Neidiomorpha binodis,Neibi02
Neidium affine,Neiaf01
Neidium alpinum,Neial01
Neidium ampliatum,Neiam01
Neidium apiculatum,Neiap01
Neidium binodeforme,Neibi03
Neidium bisulcatum,Neibi04
Neidium carterii,Neica01
Neidium constrictum,Neico01
Neidium cuneatiforme,Neicu01
Neidium densestriatum,Neide01
Neidium dubium,Neidu01
Neidium elongatum,Neiel01
Neidium hercynicum,Neihe01
Neidium hustedtii,Neihu01
Neidium infirmum,Neiin01
Neidium iridis,Neiir01
Neidium longiceps,Neilo01
Neidium perminutum,Neipe01
Neidium productum,Neipr01
Neidium pseudodensestriatum,Neips01
Neidium septentrionalis,Neise01
Neidium subampliatum,Neisu01
Neidium tenuissimum,Neite01
Neidium vernale,Neive01
Neofragilaria constricta,Neoco01
Nitzschia abbreviata,Nitab01
Nitzschia accedens,Nitac01
Nitzschia accommodata,Nitac02
Nitzschia acicularioides,Nitac03
Nitzschia acicularis,Nitac04
Nitzschia acidoclinata,Nitac05
Nitzschia actinastroides,Nitac06
Nitzschia adamata,Nitad01
Nitzschia aequorea,Nitae01
Nitzschia aerophila,Nitae02
Nitzschia agnewii,Nitag01
Nitzschia agnita,Nitag02
Nitzschia alicae,Nital01
Nitzschia alpina,Nital02
Nitzschia alpinobacillum,Nital03
Nitzschia amphibia,Nitam01
Nitzschia amphibioides,Nitam02
Nitzschia amphioxoides,Nitam03
Nitzschia amplectens,Nitam04
Nitzschia angustata,Nitan01
Nitzschia angustatula,Nitan02
Nitzschia archibaldii,Nitar01
Nitzschia arcuata,Nitar02
Nitzschia aurariae,Nitau01
Nitzschia austriaca,Nitau02
Nitzschia bacata,Nitba01
Nitzschia bacilliformis,Nitba02
Nitzschia bacillum,Nitba03
Nitzschia bavarica,Nitba04
Nitzschia bergii,Nitbe01
Nitzschia beyeri,Nitbe02
Nitzschia bifurcata,Nitbi01
Nitzschia bremensis,Nitbr01
Nitzschia brunoi,Nitbr02
Nitzschia bryophila,Nitbr03
Nitzschia calcicola,Nitca01
Nitzschia calica,Nitca02
Nitzschia capitellata,Nitca03
Nitzschia clausii,Nitcl01
Nitzschia coarctata,Nitco01
Nitzschia communis,Nitco02
Nitzschia commutata,Nitco03
Nitzschia commutatoides,Nitco04
Nitzschia compacta,Nitco05
Nitzschia congolensis,Nitco06
Nitzschia costei,Nitco07
Nitzschia curvilineata,Nitcu01
Nitzschia curvipunctata,Nitcu02
Nitzschia curvula,Nitcu03
Nitzschia dealpina,Nitde01
Nitzschia delauneyi,Nitde02
Nitzschia delognei,Nitde03
Nitzschia densuensis,Nitde04
Nitzschia denticula,Nitde05
Nitzschia desertorum,Nitde06
Nitzschia didyma,Nitdi01
Nitzschia diserta,Nitdi02
Nitzschia disputata,Nitdi03
Nitzschia dissipata,Nitdi04
Nitzschia distans,Nitdi05
Nitzschia diversa,Nitdi06
Nitzschia draveillensis,Nitdr01
Nitzschia dubia,Nitdu01
Nitzschia elegantula,Nitel01
Nitzschia epithemoides,Nitep01
Nitzschia etoshensis,Nitet01
Nitzschia eutinensis,Niteu01
Nitzschia fasciculata,Nitfa01
Nitzschia fibulafissa,Nitfi01
Nitzschia filiformis,Nitfi02
Nitzschia flexa,Nitfl01
Nitzschia flexoides,Nitfl02
Nitzschia fonticola,Nitfo01
Nitzschia fossalis,Nitfo02
Nitzschia frequens,Nitfr01
Nitzschia frustulum,Nitfr02
Nitzschia fruticosa,Nitfr03
Nitzschia fusiformis,Nitfu01
Nitzschia gessneri,Nitge01
Nitzschia gisela,Nitgi01
Nitzschia gotlandica,Nitgo01
Nitzschia graciliformis,Nitgr01
Nitzschia gracilis,Nitgr02
Nitzschia granulata,Nitgr03
Nitzschia hadriatica,Nitha01
Nitzschia hantzschiana,Nitha02
Nitzschia heufleriana,Nithe01
Nitzschia hoehnkii,Nitho01
Nitzschia homburgiensis,Nitho02
Nitzschia hungarica,Nithu01
Nitzschia incognita,Nitin01
Nitzschia inconspicua,Nitin02
Nitzschia ingenua,Nitin03
Nitzschia intermedia,Nitin04
Nitzschia invisitata,Nitin05
Nitzschia jucunda,Nitju01
Nitzschia labella,Nitla01
Nitzschia labuensis,Nitla02
Nitzschia lacuum,Nitla03
Nitzschia laevis,Nitla04
Nitzschia lanceola,Nitla05
Nitzschia lanceolata,Nitla06
Nitzschia latens,Nitla07
Nitzschia legleri,Nitle01
Nitzschia leistikowii,Nitle02
Nitzschia liebethruthii,Nitli01
Nitzschia ligowskii,Nitli02
Nitzschia linearis,Nitli03
Nitzschia littoralis,Nitli04
Nitzschia lorenziana,Nitlo01
Nitzschia macedonica,Nitma01
Nitzschia media,Nitme01
Nitzschia microcephala,Nitmi01
Nitzschia minuscula,Nitmi02
Nitzschia minuta,Nitmi03
Nitzschia minutula,Nitmi04
Nitzschia modesta,Nitmo01
Nitzschia monachorum,Nitmo02
Nitzschia nana,Nitna01
Nitzschia obtusa,Nitob01
Nitzschia ovalis,Nitov01
Nitzschia palea,Nitpa01
Nitzschia paleacea,Nitpa02
Nitzschia paleaeformis,Nitpa03
Nitzschia palustris,Nitpa04
Nitzschia panduriformis,Nitpa05
Nitzschia paradoxa,Nitpa06
Nitzschia pararostrata,Nitpa07
Nitzschia parvula,Nitpa08
Nitzschia parvuloides,Nitpa09
